Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
306.001	1.4213e+07	-1.016e+07	-0.7149	-35.562	0.09166
307.001	1.1559e+07	-1.091e+07	-0.9437	-43.342	0.08928
308.001	1.1656e+07	-1.107e+07	-0.9494	-43.512	0.08869
309.001	1.1652e+07	-1.134e+07	-0.9732	-44.222	0.08808
310.001	1.1481e+07	-1.123e+07	-0.9782	-44.368	0.08732
311.001	1.1735e+07	-1.145e+07	-0.9760	-44.303	0.08686
312.001	1.1853e+07	-1.183e+07	-0.9977	-44.935	0.08632
313.001	1.1367e+07	-1.164e+07	-1.0238	-45.674	0.08539
314.001	1.1761e+07	-1.188e+07	-1.0101	-45.289	0.08504
315.001	1.1748e+07	-1.215e+07	-1.0342	-45.963	0.08443
316.001	1.1967e+07	-1.216e+07	-1.0160	-45.454	0.08395
317.001	1.1741e+07	-1.236e+07	-1.0529	-46.475	0.08325
318.001	1.1713e+07	-1.249e+07	-1.0662	-46.834	0.08263
